Ref,Val,Package,PosX,PosY,Rot,Side
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.082011,-114.639511,180.000000,top
"C7","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.172011,-114.639511,0.000000,top
"C8","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.922011,-121.624511,180.000000,top
"C9","100u","CP_Elec_6.3x7.7",73.820000,-125.730000,0.000000,top
"C10","100u","CP_Elec_6.3x7.7",121.920000,-74.295000,180.000000,top
"C11","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",106.680000,-113.030000,180.000000,top
"C12","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.200000,-88.497500,-90.000000,top
"C13","22u","CP_Elec_6.3x5.4",99.955000,-116.205000,180.000000,top
"C14","22u","CP_Elec_6.3x5.4",90.805000,-74.295000,0.000000,top
"C15","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.307500,-113.030000,0.000000,top
"C16","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",73.660000,-72.386131,90.000000,top
"C17","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.095000,-115.570000,-90.000000,top
"C18","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",71.120000,-72.390000,90.000000,top
"C19","680u","C_Radial_D12.5mm_H20.0mm_P5.00mm",136.525000,-72.390000,180.000000,top
"C20","220u","CP_Elec_6.3x7.7",150.495000,-90.170000,0.000000,top
"C21","100u","CP_Elec_6.3x7.7",83.185000,-127.160000,90.000000,top
"C22","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",155.047011,-114.639511,0.000000,top
"C23","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",159.957011,-114.639511,0.000000,top
"C24","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.877011,-121.624511,180.000000,top
"C25","4n7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",164.561790,-107.654511,0.000000,top
"C30","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.307011,-112.899511,180.000000,top
"D1","BZV55B18","D_MiniMELF_Handsoldering",164.465000,-72.180000,-90.000000,top
"D2","Blue","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.860000,-138.430000,180.000000,top
"D3","1N5821","D_SMA",157.184511,-90.805000,-90.000000,top
"D4","PRTR5V0U2X","SOT-143",144.799511,-126.704511,90.000000,top
"D5","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",76.014511,-119.494511,-90.000000,top
"D6","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",68.335000,-45.085000,180.000000,top
"D7","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.474511,-119.494511,-90.000000,top
"D8","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",68.335000,-47.625000,180.000000,top
"F1","20A","Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open",159.324511,-43.309511,-90.000000,top
"J1","XT60_connector_DC_60A_male","AMASS_XT60PW-M",173.454511,-58.499511,-90.000000,top
"J6","prog_power_select","PinHeader_1x03_P1.27mm_Vertical",117.924511,-126.954511,180.000000,top
"J8","AVR-ISP-6","PinHeader_2x03_P1.27mm_Vertical",106.494511,-126.869511,0.000000,top
"J9","USB_CH_A","USB_A_Molex_67643_Horizontal",71.464511,-134.319511,0.000000,top
"J10","USB_CH_A","USB_A_Molex_67643_Horizontal",92.834511,-134.319511,0.000000,top
"J11","USB_CH_A","USB_A_Molex_67643_Horizontal",114.204511,-134.319511,0.000000,top
"J12","USB_CH_A","USB_A_Molex_67643_Horizontal",135.599511,-134.319511,0.000000,top
"J13","USB_CH_A","USB_A_Molex_67643_Horizontal",156.849506,-134.319511,0.000000,top
"J14","XT30_connector_DC_30A_female","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",78.044511,-47.545000,0.000000,top
"J15","XT30_connector_DC_30A_female","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",93.284511,-47.545000,0.000000,top
"J16","XT30_connector_DC_30A_female","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",108.524511,-47.545000,0.000000,top
"J17","XT30_connector_DC_30A_female","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",123.764511,-47.545000,0.000000,top
"J18","XT30_connector_DC_30A_female","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",139.004511,-47.545000,0.000000,top
"J21","24vTerminal","TerminalBlock_Altech_AK300-2_P5.00mm",173.804511,-75.989511,90.000000,top
"J22","12vTerminal","TerminalBlock_Altech_AK300-2_P5.00mm",62.804511,-55.749511,-90.000000,top
"J23","5vTerminal","TerminalBlock_Altech_AK300-2_P5.00mm",62.044511,-121.234511,-90.000000,top
